# Second test
 -3.17692507  94.23259268
 -3.24462580  95.34613309
 -3.31489891  96.46304941
 -3.38776345  97.58345447
 -3.46321295  98.70748962
 -3.54126067  99.83528180
 -3.62191242 100.96695581
 -3.70517064 102.10263422
 -3.79103410 103.24247367
 -3.87951204 104.38657073
 -3.97060811 105.53506426
 -4.06434280 106.68807171
 -4.16066439 107.84574163
 -4.25961856 109.00817453
 -4.36118211 110.17550220
 -4.46534765 111.34784684
 -4.57210634 112.52532835
 -4.68144103 113.70805713
 -4.79335309 114.89616562
 -4.90781529 116.08975157
 -5.02480780 117.28892360
 -5.14430691 118.49378643
 -5.26628553 119.70443657
 -5.39070407 120.92096918
 -5.51754117 122.14347678
 -5.64674058 123.37203330
 -5.77825654 124.60671708
 -5.91204084 125.84758599
 -6.04802905 127.09470437
 -6.18615632 128.34811622
 -6.32634936 129.60785742
 -6.46850934 130.87394184
 -6.61256947 132.14639457
 -6.75842196 133.42520649
 -6.90595899 134.71035913
 -7.05506326 136.00181768
 -6.26953737  -9.87564987
 -6.11739404  -8.56453890
 -5.96644091  -7.25963025
 -5.81682227  -5.96101312
 -5.66867043  -4.66875423
 -5.52211135  -3.38290361
 -5.37725662  -2.10349307
 -5.23421191  -0.83053812
 -5.09307093   0.43596079
 -4.95392082   1.69601731
 -4.81684053   2.94965862
 -4.68190114   4.19692313
 -4.54916622   5.43786073
 -4.41869443   6.67252901
 -4.29053506   7.90099723
 -4.16473341   9.12334262
 -4.04133076  10.33964720
 -3.92036116  11.55000125
 -3.80185569  12.75450139
 -3.68584003  13.95324796
 -3.57233671  15.14634683
 -3.46136247  16.33390817
 -3.35293538  17.51604459
 -3.24706684  18.69287258
 -3.14376660  19.86451105
 -3.04304196  21.03108115
 -2.94489800  22.19270594
 -2.84933782  23.34951002
 -2.75636274  24.50161928
 -2.66597249  25.64916065
 -2.57816539  26.79226183
 -2.49293853  27.93105112
 -2.41028788  29.06565720
 -2.33020849  30.19620901
 -2.25269458  31.32283556
 -2.17773967  32.44566583
 -2.10533672  33.56482867
 -2.03547817  34.68045267
 -1.96815611  35.79266613
 -1.90336231  36.90159691
 -1.84108833  38.00737248
 -1.78132557  39.11011978
 -1.72406537  40.20996523
 -1.66929904  41.30703468
 -1.61701794  42.40145341
 -1.56721350  43.49334611
 -1.51987732  44.58283684
 -1.47500116  45.67004909
 -1.43258055  46.75510646
 -1.39260012  47.83812975
 -1.35505651  48.91924140
 -1.31994258  49.99856257
 -1.28725152  51.07621385
 -1.25697689  52.15231533
 -1.22911264  53.22698660
 -1.20365315  54.30034678
 -1.18059321  55.37251457
 -1.15992805  56.44360826
 -1.14165335  57.51374579
 -1.12576529  58.58304474
 -1.11226049  59.65162244
 -1.10113609  60.71959593
 -1.09238995  61.78707947
 -1.08601964  62.85419564
 -1.08202410  63.92105743
 -1.08040247  64.98778133
 -1.08115440  66.05448377
 -1.08428007  67.12128122
 -1.08978010  68.18829029
 -1.09765544  69.25562737
 -1.10790923  70.32340872
 -1.12054043  71.39175149
 -1.13555434  72.46077254
 -1.15295452  73.53058851
 -1.17274327  74.60131801
 -1.19492508  75.67307815
 -1.21950457  76.74598686
 -1.24648678  77.82016243
 -1.27587692  78.89572974
 -1.30768124  79.97279927
 -1.34190578  81.05149463
 -1.37855710  82.13193624
 -1.41764209  83.21424505
 -1.45916792  84.29854259
 -1.50314204  85.38495100
 -1.54958322  86.47359025
 -1.59848213  87.56458781
 -1.64985448  88.65806566
 -1.70370876  89.75414830
 -1.76005358  90.85296089
 -1.81889767  91.95462933
 -1.88024990  93.05928019
 -1.94411917  94.16704060
 -2.01051431  95.27803793
 -2.07944366  96.39239950
 -2.15091481  97.51025258
 -2.22493346  98.63172724
 -2.30150657  99.75694292
 -2.38064602 100.88603915
 -2.46235300 102.01914839
 -2.54664086 103.15638640
 -2.63349817 104.29789769
 -2.72293576 105.44379753
 -2.81495674 106.59421987
 -2.90958416 107.74928445
 -3.00678147 108.90912904
 -3.10654873 110.07388150
 -3.20891105 111.24364814
 -3.31384374 112.41855969
 -3.42133750 113.59873647
 -3.53138111 114.78429598
 -3.64395612 115.97534811
 -3.75905647 117.17201586
 -3.87665390 118.37439700
 -3.99672346 119.58259688
 -4.11924024 120.79670872
 -4.24416586 122.01683038
 -4.37146603 123.24304604
 -4.50109797 124.47543484
 -4.63300900 125.71406953
 -4.76714862 126.95900818
 -4.90345324 128.21030879
 -5.04185577 129.46801289
 -5.18228129 130.73215218
 -5.32463140 132.00273647
 -5.46883382 133.27978419
