X,Y,Polarity,Timestamp
50,58,0,25921095
50,105,1,25921122
50,105,1,25921123
50,105,1,25921124
50,105,1,25921125
104,73,1,25921193
90,63,0,25921213
91,63,0,25921244
115,50,0,25921322
66,109,1,25921325
66,109,1,25921327
66,109,1,25921328
36,48,0,25921333
80,108,1,25921346
80,108,1,25921347
51,58,0,25921409
27,42,0,25921412
111,52,0,25921418
74,72,0,25921509
33,46,0,25921701
84,101,1,25921772
84,101,1,25921773
66,69,0,25921818
79,68,0,25921822
67,125,1,25921845
67,125,1,25921847
102,57,0,25922019
103,75,1,25922139
103,75,1,25922140
103,75,1,25922141
103,75,1,25922142
98,59,0,25922278
40,51,0,25922305
83,67,0,25922343
85,66,0,25922447
99,81,1,25922537
99,81,1,25922538
99,81,1,25922539
63,67,0,25922550
94,61,0,25922697
81,68,0,25922822
107,54,0,25922925
105,55,0,25922983
98,82,1,25923029
32,45,0,25923048
10,55,1,25923081
108,54,0,25923095
59,64,0,25923153
78,70,0,25923166
102,76,1,25923170
102,76,1,25923171
102,76,1,25923172
76,71,0,25923178
82,66,0,25923231
92,62,0,25923443
39,50,0,25923461
110,53,0,25923474
106,46,1,25923536
106,46,1,25923537
106,46,1,25923538
106,46,1,25923539
61,65,0,25923597
96,83,1,25923605
96,83,1,25923606
70,71,0,25923626
121,83,1,25923665
79,69,0,25923679
113,59,1,25923724
60,65,0,25923767
89,64,0,25923788
87,65,0,25923832
111,52,0,25923842
46,55,0,25923878
113,51,0,25923919
73,72,0,25923944
105,54,0,25923948
93,90,1,25924011
13,107,0,25924103
90,94,1,25924105
90,94,1,25924106
90,94,1,25924107
90,94,1,25924108
117,49,0,25924231
49,57,0,25924350
66,127,1,25924378
20,37,0,25924459
100,58,0,25924483
23,39,0,25924738
23,39,0,25924739
23,39,0,25924740
23,39,0,25924741
23,39,0,25924743
23,39,0,25924744
23,39,0,25924745
23,39,0,25924746
23,39,0,25924747
23,39,0,25924749
118,48,0,25924802
76,70,0,25924809
57,63,0,25924871
101,58,0,25924954
69,71,0,25925188
106,55,0,25925211
84,102,1,25925251
43,53,0,25925280
21,38,0,25925374
16,36,0,25925384
14,120,0,25925405
82,68,0,25925438
50,58,0,25925440
97,84,1,25925451
104,56,0,25925493
14,110,1,25925595
80,69,0,25925619
96,60,0,25925687
23,47,0,25925725
37,49,0,25925760
74,116,1,25925879
52,59,0,25925899
23,39,1,25925933
85,65,0,25925941
66,69,0,25925959
24,48,0,25925981
77,70,0,25926043
56,62,0,25926154
31,64,0,25926174
18,37,0,25926230
89,61,0,25926272
68,124,1,25926300
68,124,1,25926302
68,124,1,25926303
112,61,1,25926308
80,108,1,25926332
69,123,1,25926352
69,123,1,25926353
58,63,0,25926354
15,124,1,25926416
91,63,0,25926515
74,72,0,25926564
62,66,0,25926568
40,84,0,25926677
120,48,1,25926756
1,30,1,25926775
99,59,0,25926777
71,76,1,25926798
14,76,0,25926871
81,4,0,25926933
32,66,0,25926967
75,115,1,25927169
102,57,0,25927235
95,61,0,25927238
26,53,0,25927243
76,71,0,25927310
85,100,1,25927315
85,100,1,25927316
85,100,1,25927317
114,58,1,25927376
119,48,0,25927433
109,66,1,25927469
109,66,1,25927470
85,101,1,25927543
107,68,1,25927564
82,105,1,25927590
82,105,1,25927591
82,105,1,25927592
107,66,1,25927593
44,54,0,25927606
45,57,0,25927616
77,111,1,25927729
77,111,1,25927730
77,111,1,25927731
77,111,1,25927732
77,111,1,25927733
84,67,0,25927772
14,107,1,25927773
14,107,1,25927774
14,107,1,25927776
100,80,1,25927788
47,56,0,25927795
82,104,1,25927824
82,104,1,25927825
82,104,1,25927826
100,77,1,25927855
27,55,0,25927893
78,70,0,25927980
111,63,1,25928018
108,54,0,25928128
95,87,1,25928286
95,87,1,25928287
95,87,1,25928288
106,55,0,25928316
93,90,1,25928341
83,104,1,25928451
85,66,0,25928485
115,50,0,25928564
66,110,1,25928712
24,40,0,25928742
70,122,1,25928804
70,122,1,25928805
70,122,1,25928806
70,122,1,25928807
49,104,0,25928838
70,119,1,25928862
48,101,0,25928880
108,67,1,25929062
98,83,1,25929144
98,83,1,25929145
98,83,1,25929146
98,83,1,25929147
93,62,0,25929201
